ResultID,ApprovedAt,EmissionSourceID,EntryDate,IsApproved,MeasurementDate,ParameterCode,Remark,Unit,Value,type
49,2025-11-22 10:22:35.6533333,4,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1392.607,air
50,2025-11-22 10:22:35.6533333,4,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,50.8,air
51,2025-11-22 10:22:35.6533333,4,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,126,air
52,2025-11-22 10:22:35.6533333,4,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS04,Ð?t yêu c?u,%,9.09,air
53,2025-11-22 10:22:35.6533333,4,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,116,air
54,2025-11-22 10:22:35.6533333,4,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
55,2025-11-22 10:22:35.6533333,4,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,508,air
56,2025-11-22 10:22:35.6533333,4,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,316,air
57,2025-11-22 10:22:35.6533333,5,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1339.968,air
58,2025-11-22 10:22:35.6533333,5,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,44.8,air
59,2025-11-22 10:22:35.6533333,5,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,107,air
60,2025-11-22 10:22:35.6533333,5,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.62,air
61,2025-11-22 10:22:35.6533333,5,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,117,air
62,2025-11-22 10:22:35.6533333,5,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
63,2025-11-22 10:22:35.6533333,5,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,510,air
64,2025-11-22 10:22:35.6533333,5,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,310,air
65,2025-11-22 10:24:04.0066667,2,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1280.101,air
66,2025-11-22 10:24:04.0066667,2,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,41.2,air
67,2025-11-22 10:24:04.0066667,2,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,126,air
68,2025-11-22 10:24:04.0066667,2,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.44,air
69,2025-11-22 10:24:04.0066667,2,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,125,air
70,2025-11-22 10:24:04.0066667,2,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
71,2025-11-22 10:24:04.0066667,2,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,520,air
72,2025-11-22 10:24:04.0066667,2,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,315,air
73,2025-11-22 10:24:04.0066667,3,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1197.323,air
74,2025-11-22 10:24:04.0066667,3,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,35.1,air
75,2025-11-22 10:24:04.0066667,3,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,95,air
76,2025-11-22 10:24:04.0066667,3,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.58,air
77,2025-11-22 10:24:04.0066667,3,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,122,air
78,2025-11-22 10:24:04.0066667,3,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
79,2025-11-22 10:24:04.0066667,3,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,518,air
80,2025-11-22 10:24:04.0066667,3,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,312,air
81,2025-11-22 10:24:04.0066667,4,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1395.42,air
82,2025-11-22 10:24:04.0066667,4,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,51,air
83,2025-11-22 10:24:04.0066667,4,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,125,air
84,2025-11-22 10:24:04.0066667,4,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS04,Ð?t yêu c?u,%,9.06,air
85,2025-11-22 10:24:04.0066667,4,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,108,air
86,2025-11-22 10:24:04.0066667,4,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
87,2025-11-22 10:24:04.0066667,4,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,528,air
88,2025-11-22 10:24:04.0066667,4,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,320,air
89,2025-11-22 10:24:04.0066667,5,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1361.067,air
90,2025-11-22 10:24:04.0066667,5,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,46.3,air
91,2025-11-22 10:24:04.0066667,5,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,105,air
92,2025-11-22 10:24:04.0066667,5,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.44,air
93,2025-11-22 10:24:04.0066667,5,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,111,air
94,2025-11-22 10:24:04.0066667,5,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
95,2025-11-22 10:24:04.0066667,5,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,534,air
96,2025-11-22 10:24:04.0066667,5,2025-11-22 10:24:04.0066667,-1,2024-03-27 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,300,air
97,2025-11-22 10:30:15.4200000,2,2025-11-22 10:30:15.4200000,-1,2025-03-19 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,847.69,air
98,2025-11-22 10:30:15.4200000,2,2025-11-22 10:30:15.4200000,-1,2025-03-19 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,16.9,air
99,2025-11-22 10:30:15.4200000,2,2025-11-22 10:30:15.4200000,-1,2025-03-19 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,80,air
100,2025-11-22 10:30:15.4200000,2,2025-11-22 10:30:15.4200000,-1,2025-03-19 10:00:00.0000000,TS04,Ð?t yêu c?u,%,11.82,air
101,2025-11-22 10:30:15.4200000,2,2025-11-22 10:30:15.4200000,-1,2025-03-19 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,79,air
102,2025-11-22 10:30:15.4200000,2,2025-11-22 10:30:15.4200000,-1,2025-03-19 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,15.4,air
103,2025-11-22 10:30:15.4200000,2,2025-11-22 10:30:15.4200000,-1,2025-03-19 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,290,air
104,2025-11-22 10:30:15.4200000,2,2025-11-22 10:30:15.4200000,-1,2025-03-19 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,240.8,air
105,2025-11-22 10:30:15.4233333,3,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,896.299,air
106,2025-11-22 10:30:15.4233333,3,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,20.3,air
107,2025-11-22 10:30:15.4233333,3,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,104,air
108,2025-11-22 10:30:15.4233333,3,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.47,air
109,2025-11-22 10:30:15.4233333,3,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,86,air
110,2025-11-22 10:30:15.4233333,3,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,22.54,air
111,2025-11-22 10:30:15.4233333,3,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,236.4,air
112,2025-11-22 10:30:15.4233333,3,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,238.7,air
113,2025-11-22 10:30:15.4233333,4,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1193.36,air
114,2025-11-22 10:30:15.4233333,4,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,35,air
115,2025-11-22 10:30:15.4233333,4,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,89,air
116,2025-11-22 10:30:15.4233333,4,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS04,Ð?t yêu c?u,%,5.67,air
117,2025-11-22 10:30:15.4233333,4,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,95,air
118,2025-11-22 10:30:15.4233333,4,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,26.2,air
119,2025-11-22 10:30:15.4233333,4,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,235,air
120,2025-11-22 10:30:15.4233333,4,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,231.1,air
121,2025-11-22 10:30:15.4233333,5,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,847.418,air
122,2025-11-22 10:30:15.4233333,5,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,18.3,air
123,2025-11-22 10:30:15.4233333,5,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,113,air
124,2025-11-22 10:30:15.4233333,5,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS04,Ð?t yêu c?u,%,7.7,air
125,2025-11-22 10:30:15.4233333,5,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,79,air
126,2025-11-22 10:30:15.4233333,5,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,21.9,air
127,2025-11-22 10:30:15.4233333,5,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,305.6,air
128,2025-11-22 10:30:15.4233333,5,2025-11-22 10:30:15.4233333,-1,2025-03-19 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,227.7,air
129,2025-11-22 10:30:15.4266667,2,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,857.436,air
130,2025-11-22 10:30:15.4266667,2,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,17.3,air
131,2025-11-22 10:30:15.4266667,2,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,82,air
132,2025-11-22 10:30:15.4266667,2,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS04,Ð?t yêu c?u,%,10.91,air
133,2025-11-22 10:30:15.4266667,2,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,88,air
134,2025-11-22 10:30:15.4266667,2,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,16.8,air
135,2025-11-22 10:30:15.4266667,2,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,252.4,air
136,2025-11-22 10:30:15.4266667,2,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,242.3,air
137,2025-11-22 10:30:15.4266667,3,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,900.866,air
138,2025-11-22 10:30:15.4266667,3,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,20.1,air
139,2025-11-22 10:30:15.4266667,3,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,106,air
140,2025-11-22 10:30:15.4266667,3,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.55,air
141,2025-11-22 10:30:15.4266667,3,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,93,air
142,2025-11-22 10:30:15.4266667,3,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,29.5,air
143,2025-11-22 10:30:15.4266667,3,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,267.7,air
144,2025-11-22 10:30:15.4266667,3,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,211.8,air
145,2025-11-22 10:30:15.4266667,4,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1224.35,air
146,2025-11-22 10:30:15.4266667,4,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,36.8,air
147,2025-11-22 10:30:15.4266667,4,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,90,air
148,2025-11-22 10:30:15.4266667,4,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS04,Ð?t yêu c?u,%,5.76,air
149,2025-11-22 10:30:15.4266667,4,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,83,air
150,2025-11-22 10:30:15.4266667,4,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,22.8,air
151,2025-11-22 10:30:15.4266667,4,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,270.7,air
152,2025-11-22 10:30:15.4266667,4,2025-11-22 10:30:15.4266667,-1,2025-03-27 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,217.5,air
153,2025-11-22 10:30:15.4300000,5,2025-11-22 10:30:15.4300000,-1,2025-03-27 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,856.355,air
154,2025-11-22 10:30:15.4300000,5,2025-11-22 10:30:15.4300000,-1,2025-03-27 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,18.5,air
155,2025-11-22 10:30:15.4300000,5,2025-11-22 10:30:15.4300000,-1,2025-03-27 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,110,air
156,2025-11-22 10:30:15.4300000,5,2025-11-22 10:30:15.4300000,-1,2025-03-27 10:00:00.0000000,TS04,Ð?t yêu c?u,%,7.72,air
157,2025-11-22 10:30:15.4300000,5,2025-11-22 10:30:15.4300000,-1,2025-03-27 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,87,air
158,2025-11-22 10:30:15.4300000,5,2025-11-22 10:30:15.4300000,-1,2025-03-27 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,24.5,air
159,2025-11-22 10:30:15.4300000,5,2025-11-22 10:30:15.4300000,-1,2025-03-27 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,325.2,air
160,2025-11-22 10:30:15.4300000,5,2025-11-22 10:30:15.4300000,-1,2025-03-27 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,237,air
161,2025-11-22 10:30:15.4300000,2,2025-11-22 10:30:15.4300000,-1,2025-04-03 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,846.048,air
162,2025-11-22 10:30:15.4300000,2,2025-11-22 10:30:15.4300000,-1,2025-04-03 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,16.7,air
163,2025-11-22 10:30:15.4300000,2,2025-11-22 10:30:15.4300000,-1,2025-04-03 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,78,air
